x,y,z,nx,ny,nz
3.535930000000000063e-03,-4.133409999999999689e-03,1.541810000000000055e-02,-5.526360398489634784e-01,4.883295244386686162e-01,6.753722551464181878e-01
3.298080000000000109e-03,-3.921660000000000423e-03,1.576220000000000052e-02,-5.073106788289518665e-01,4.516419434182476489e-01,7.339314886905291546e-01
3.252310000000000010e-03,-3.894739999999999834e-03,1.581619999999999901e-02,-6.043552067661269733e-01,3.554564598239995377e-01,7.130255880570214311e-01
3.082000000000000104e-03,-3.725720000000000073e-03,1.603889999999999830e-02,-5.202432794714294539e-01,5.163027367521633160e-01,6.802781888220718054e-01
3.062019999999999933e-03,-3.713300000000000108e-03,1.606190000000000048e-02,-6.072817044943117359e-01,3.774994379288922342e-01,6.990730332017206505e-01
2.365279999999999987e-03,-3.244679999999999787e-03,1.677259999999999862e-02,-6.333618366498767749e-01,4.259925135500552407e-01,6.460519810934728380e-01
2.292639999999999869e-03,-3.163829999999999854e-03,1.690180000000000154e-02,-4.302374514920413451e-01,4.788642339362810807e-01,7.652351147132834264e-01
1.702210000000000008e-03,-2.740219999999999809e-03,1.750449999999999923e-02,-6.253978559336769161e-01,4.486980433786647016e-01,6.383945391853831364e-01
1.634500000000000102e-03,-2.671119999999999918e-03,1.758310000000000081e-02,-5.432046056022811209e-01,5.543559038121047555e-01,6.305698124404107707e-01
1.533590000000000040e-03,-2.588909999999999823e-03,1.768959999999999977e-02,-6.000219707811761394e-01,4.888297118018087306e-01,6.332607262728628950e-01
1.506289999999999973e-03,-2.557990000000000003e-03,1.772239999999999926e-02,-5.180371602575215562e-01,5.867292672220670857e-01,6.224036211152528253e-01
1.303740000000000064e-03,-2.390520000000000145e-03,1.792519999999999877e-02,-6.101552880046422489e-01,5.044813926543441074e-01,6.109083801892926102e-01
1.210549999999999907e-03,-2.303219999999999920e-03,1.801960000000000020e-02,-5.868436069554532342e-01,5.497526224617568236e-01,5.944633168429609427e-01
1.011890000000000098e-03,-2.131870000000000119e-03,1.825709999999999833e-02,-5.613726727596342059e-01,4.842001785833248140e-01,6.711265971026487698e-01
4.417700000000000207e-04,-1.674630000000000086e-03,1.841529999999999903e-02,-7.624456991963894925e-01,6.114864791632587115e-01,2.115675815843494900e-01
7.225010000000000134e-05,-1.423870000000000040e-03,1.828899999999999970e-02,-7.962289135071699553e-01,5.403291198960000763e-01,-2.721469446596923025e-01
-5.431340000000000213e-04,-3.602869999999999879e-04,1.830029999999999851e-02,-5.007868273215912991e-01,8.655218036396782333e-01,9.195705818095374628e-03
-1.465820000000000057e-03,1.242180000000000064e-03,1.898069999999999966e-02,-4.682904578202001233e-01,8.132994378063204133e-01,3.453231408094028509e-01
